hospital,date,ed_trolleys,ward_trolleys,total_trolleys,surge_open,delayed_transfers,over_24hrs_on_trolleys,over_75yrs_over_24hrs
Beaumont Hospital,2024-02-01,11,0,3,20,20,0,5
Cavan General Hospital,2024-02-01,5,0,5,6,0,0,0
Connolly Hospital,2024-02-01,0,1,1,16,0,0,0
Louth County Hospital,2024-02-01,20,0,20,6,20,0,0
Mater Misericordiae University Hospital,2024-02-01,20,0,20,6,20,0,0
National Orthopaedic Hospital Cappagh,2024-02-01,26,0,26,26,26,0,0
Our Lady of Lourdes Hospital,2024-02-01,26,0,26,26,26,3,1
Our Lady's Hospital Navan,2024-02-01,1,0,1,4,0,0,0
CHI at Crumlin,2024-02-01,4,0,0,2,2,0,0
CHI at Tallaght,2024-02-01,0,0,0,0,0,0,3
CHI at Temple Street,2024-02-01,3,0,3,0,1,0,4
MRH Mullingar,2024-02-01,4,0,4,7,0,0,11
MRH Portlaoise,2024-02-01,11,0,9,0,0,0,0
MRH Tullamore,2024-02-01,0,0,0,34,6,0,0
Naas General Hospital,2024-02-01,9,2,11,10,11,0,23
St. James's Hospital,2024-02-01,23,0,23,15,23,0,0
St. Luke's Radiation Oncology Network,2024-02-01,3,24,0,24,3,0,0
Tallaght University Hospital,2024-02-01,24,0,24,24,24,0,0
National Rehabilitation Hospital,2024-02-01,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-01,10,6,6,12,10,0,0
St Luke's General Hospital Kilkenny,2024-02-01,6,6,12,43,12,0,0
St. Michael's Hospital,2024-02-01,7,24,0,24,7,0,0
St. Vincent's University Hospital,2024-02-01,24,0,24,55,24,0,4
Tipperary University Hospital,2024-02-01,4,0,18,11,11,0,0
UH Waterford,2024-02-01,0,0,0,11,0,0,4
Wexford General Hospital,2024-02-01,4,4,16,2,2,0,0
Bantry General Hospital,2024-02-01,6,24,15,39,6,0,0
Cork University Hospital,2024-02-01,24,15,39,26,39,8,0
Mallow General Hospital,2024-02-01,4,0,6,0,0,0,0
Mercy University Hospital,2024-02-01,4,0,6,11,11,0,0
South Infirmary Victoria University Hospital,2024-02-01,12,0,12,14,12,0,0
UH Kerry,2024-02-01,12,0,12,14,12,3,0
Ennis Hospital,2024-02-01,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-01,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-01,5,13,50,63,5,0,0
UH Limerick,2024-02-01,13,50,63,45,63,2,0
Galway University Hospital,2024-02-01,26,12,38,21,38,1,0
Letterkenny University Hospital,2024-02-01,0,5,5,6,18,0,0
Mayo University Hospital,2024-02-01,3,9,12,9,12,6,0
Portiuncula University Hospital,2024-02-01,9,0,9,6,9,0,0
Roscommon University Hospital,2024-02-01,5,15,20,12,20,0,0
Sligo University Hospital,2024-02-01,5,15,20,12,20,5,5
Beaumont Hospital,2024-02-02,5,0,5,0,22,0,0
Cavan General Hospital,2024-02-02,5,0,5,8,0,0,0
Connolly Hospital,2024-02-02,0,0,0,5,0,0,0
Louth County Hospital,2024-02-02,14,0,6,0,0,0,0
Mater Misericordiae University Hospital,2024-02-02,14,0,6,0,0,0,0
National Orthopaedic Hospital Cappagh,2024-02-02,16,0,25,0,0,0,0
Our Lady of Lourdes Hospital,2024-02-02,16,0,25,0,8,8,0
Our Lady's Hospital Navan,2024-02-02,8,0,8,4,8,0,0
CHI at Crumlin,2024-02-02,8,0,8,0,8,0,0
CHI at Tallaght,2024-02-02,0,0,0,0,0,0,3
CHI at Temple Street,2024-02-02,3,0,3,0,0,0,6
MRH Mullingar,2024-02-02,6,0,6,7,0,0,8
MRH Portlaoise,2024-02-02,8,0,9,2,2,0,0
MRH Tullamore,2024-02-02,0,0,0,25,8,0,0
Naas General Hospital,2024-02-02,14,1,15,9,15,0,24
St. James's Hospital,2024-02-02,24,0,24,12,24,0,0
St. Luke's Radiation Oncology Network,2024-02-02,3,22,0,22,3,0,0
Tallaght University Hospital,2024-02-02,22,0,22,16,22,0,0
National Rehabilitation Hospital,2024-02-02,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-02,8,5,6,35,8,0,0
St Luke's General Hospital Kilkenny,2024-02-02,5,6,35,3,3,0,0
St. Michael's Hospital,2024-02-02,7,18,2,20,7,0,0
St. Vincent's University Hospital,2024-02-02,18,2,20,55,20,0,7
Tipperary University Hospital,2024-02-02,7,0,7,18,7,3,0
UH Waterford,2024-02-02,0,0,0,3,0,0,5
Wexford General Hospital,2024-02-02,5,4,17,1,1,0,0
Bantry General Hospital,2024-02-02,6,15,8,23,6,0,0
Cork University Hospital,2024-02-02,15,8,23,26,23,8,0
Mallow General Hospital,2024-02-02,10,0,10,6,10,0,0
Mercy University Hospital,2024-02-02,10,0,10,6,10,0,0
South Infirmary Victoria University Hospital,2024-02-02,6,0,6,14,0,0,0
UH Kerry,2024-02-02,6,0,6,14,21,3,0
Ennis Hospital,2024-02-02,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-02,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-02,6,21,49,70,6,0,0
UH Limerick,2024-02-02,21,49,70,33,70,5,0
Galway University Hospital,2024-02-02,23,9,32,20,32,10,1
Letterkenny University Hospital,2024-02-02,7,2,6,20,20,0,6
Mayo University Hospital,2024-02-02,6,7,13,9,13,5,0
Portiuncula University Hospital,2024-02-02,0,0,0,4,0,0,0
Roscommon University Hospital,2024-02-02,4,11,15,11,15,0,0
Sligo University Hospital,2024-02-02,4,11,15,11,15,9,0
Beaumont Hospital,2024-02-03,0,0,0,0,0,0,0
Cavan General Hospital,2024-02-03,0,0,0,4,0,0,0
Connolly Hospital,2024-02-03,0,0,0,7,0,0,0
Louth County Hospital,2024-02-03,4,0,4,12,0,0,0
Mater Misericordiae University Hospital,2024-02-03,4,0,4,12,0,0,0
National Orthopaedic Hospital Cappagh,2024-02-03,1,11,19,0,0,0,0
Our Lady of Lourdes Hospital,2024-02-03,1,11,19,0,0,0,0
Our Lady's Hospital Navan,2024-02-03,0,0,0,0,0,0,0
CHI at Crumlin,2024-02-03,0,1,1,0,2,0,0
CHI at Tallaght,2024-02-03,0,0,0,0,0,0,5
CHI at Temple Street,2024-02-03,5,0,0,0,0,3,0
MRH Mullingar,2024-02-03,3,0,3,0,0,0,0
MRH Portlaoise,2024-02-03,0,0,0,14,0,0,0
MRH Tullamore,2024-02-03,0,0,0,11,6,0,0
Naas General Hospital,2024-02-03,6,0,6,0,6,0,13
St. James's Hospital,2024-02-03,13,0,11,0,0,0,0
St. Luke's Radiation Oncology Network,2024-02-03,3,14,0,16,3,0,0
Tallaght University Hospital,2024-02-03,14,0,16,2,2,0,0
National Rehabilitation Hospital,2024-02-03,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-03,4,2,0,2,4,0,0
St Luke's General Hospital Kilkenny,2024-02-03,2,0,2,30,11,0,0
St. Michael's Hospital,2024-02-03,7,20,0,20,7,0,0
St. Vincent's University Hospital,2024-02-03,20,0,20,35,20,0,0
Tipperary University Hospital,2024-02-03,0,0,0,12,9,0,0
UH Waterford,2024-02-03,0,0,0,6,0,0,0
Wexford General Hospital,2024-02-03,0,3,3,15,0,0,0
Bantry General Hospital,2024-02-03,6,4,7,24,6,0,0
Cork University Hospital,2024-02-03,4,7,24,35,35,0,0
Mallow General Hospital,2024-02-03,5,0,0,0,0,0,0
Mercy University Hospital,2024-02-03,5,0,0,12,12,0,0
South Infirmary Victoria University Hospital,2024-02-03,0,0,0,14,0,0,0
UH Kerry,2024-02-03,0,0,0,14,20,0,0
Ennis Hospital,2024-02-03,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-03,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-03,6,14,38,52,6,0,0
UH Limerick,2024-02-03,14,38,52,16,52,3,0
Galway University Hospital,2024-02-03,0,3,3,20,24,0,0
Letterkenny University Hospital,2024-02-03,2,0,2,1,20,0,0
Mayo University Hospital,2024-02-03,4,4,8,11,11,0,0
Portiuncula University Hospital,2024-02-03,0,1,1,1,0,0,0
Roscommon University Hospital,2024-02-03,1,8,10,0,0,0,0
Sligo University Hospital,2024-02-03,1,8,10,21,21,0,0
Beaumont Hospital,2024-02-04,0,0,0,0,0,0,0
Cavan General Hospital,2024-02-04,0,0,0,4,0,0,0
Connolly Hospital,2024-02-04,0,0,0,15,0,0,0
Louth County Hospital,2024-02-04,10,0,10,12,0,0,0
Mater Misericordiae University Hospital,2024-02-04,10,0,10,12,0,0,0
National Orthopaedic Hospital Cappagh,2024-02-04,15,0,25,0,0,0,0
Our Lady of Lourdes Hospital,2024-02-04,15,0,25,0,0,0,0
Our Lady's Hospital Navan,2024-02-04,0,0,0,7,0,0,0
CHI at Crumlin,2024-02-04,0,0,0,0,2,0,0
CHI at Tallaght,2024-02-04,0,0,0,0,0,0,4
CHI at Temple Street,2024-02-04,4,0,0,0,0,0,0
MRH Mullingar,2024-02-04,0,0,0,0,0,0,0
MRH Portlaoise,2024-02-04,0,0,0,19,0,0,0
MRH Tullamore,2024-02-04,0,0,0,12,6,0,0
Naas General Hospital,2024-02-04,5,3,8,0,8,0,7
St. James's Hospital,2024-02-04,7,0,7,16,0,0,0
St. Luke's Radiation Oncology Network,2024-02-04,3,3,0,3,3,0,0
Tallaght University Hospital,2024-02-04,3,0,3,21,0,0,0
National Rehabilitation Hospital,2024-02-04,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-04,4,0,0,0,4,0,0
St Luke's General Hospital Kilkenny,2024-02-04,0,0,0,34,11,0,0
St. Michael's Hospital,2024-02-04,7,12,0,35,7,0,0
St. Vincent's University Hospital,2024-02-04,12,0,35,4,4,1,0
Tipperary University Hospital,2024-02-04,1,0,1,20,9,0,0
UH Waterford,2024-02-04,0,0,0,9,0,0,2
Wexford General Hospital,2024-02-04,2,4,6,20,0,0,0
Bantry General Hospital,2024-02-04,6,14,5,19,6,0,0
Cork University Hospital,2024-02-04,14,5,19,23,19,0,2
Mallow General Hospital,2024-02-04,0,0,0,7,0,0,0
Mercy University Hospital,2024-02-04,0,0,0,7,12,0,0
South Infirmary Victoria University Hospital,2024-02-04,0,0,0,14,0,0,0
UH Kerry,2024-02-04,0,0,0,14,21,0,0
Ennis Hospital,2024-02-04,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-04,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-04,6,13,37,50,6,0,0
UH Limerick,2024-02-04,13,37,50,12,50,2,0
Galway University Hospital,2024-02-04,5,0,5,37,24,0,0
Letterkenny University Hospital,2024-02-04,2,1,3,2,20,0,0
Mayo University Hospital,2024-02-04,1,4,5,7,11,2,0
Portiuncula University Hospital,2024-02-04,0,5,5,0,0,0,0
Roscommon University Hospital,2024-02-04,1,9,10,0,0,0,0
Sligo University Hospital,2024-02-04,1,9,10,21,21,0,0
Beaumont Hospital,2024-02-05,0,0,0,0,0,0,3
Cavan General Hospital,2024-02-05,3,0,3,4,0,0,0
Connolly Hospital,2024-02-05,0,0,0,19,0,0,0
Louth County Hospital,2024-02-05,23,0,23,12,23,0,0
Mater Misericordiae University Hospital,2024-02-05,23,0,23,12,23,0,0
National Orthopaedic Hospital Cappagh,2024-02-05,19,0,19,35,19,0,0
Our Lady of Lourdes Hospital,2024-02-05,19,0,19,35,19,1,0
Our Lady's Hospital Navan,2024-02-05,0,0,0,7,0,0,0
CHI at Crumlin,2024-02-05,1,0,1,0,2,0,0
CHI at Tallaght,2024-02-05,0,0,0,0,0,0,3
CHI at Temple Street,2024-02-05,3,0,3,0,0,0,0
MRH Mullingar,2024-02-05,0,0,0,5,0,0,0
MRH Portlaoise,2024-02-05,0,0,0,27,0,0,0
MRH Tullamore,2024-02-05,0,0,0,14,6,0,0
Naas General Hospital,2024-02-05,3,3,6,0,6,0,25
St. James's Hospital,2024-02-05,25,0,25,17,25,0,0
St. Luke's Radiation Oncology Network,2024-02-05,3,15,0,26,3,0,0
Tallaght University Hospital,2024-02-05,15,0,26,0,0,0,0
National Rehabilitation Hospital,2024-02-05,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-05,4,7,1,42,4,0,0
St Luke's General Hospital Kilkenny,2024-02-05,7,1,42,11,11,1,0
St. Michael's Hospital,2024-02-05,7,25,0,25,7,0,0
St. Vincent's University Hospital,2024-02-05,25,0,25,35,25,2,8
Tipperary University Hospital,2024-02-05,8,0,8,20,8,1,0
UH Waterford,2024-02-05,0,0,0,7,0,0,2
Wexford General Hospital,2024-02-05,2,7,14,1,1,0,0
Bantry General Hospital,2024-02-05,6,7,5,24,6,0,0
Cork University Hospital,2024-02-05,7,5,24,35,35,4,0
Mallow General Hospital,2024-02-05,5,0,8,0,0,0,0
Mercy University Hospital,2024-02-05,5,0,8,12,12,0,0
South Infirmary Victoria University Hospital,2024-02-05,5,0,5,14,0,0,0
UH Kerry,2024-02-05,5,0,5,14,21,1,0
Ennis Hospital,2024-02-05,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-05,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-05,6,15,39,54,6,0,0
UH Limerick,2024-02-05,15,39,54,25,54,2,0
Galway University Hospital,2024-02-05,4,0,4,21,24,0,0
Letterkenny University Hospital,2024-02-05,9,4,13,0,13,1,0
Mayo University Hospital,2024-02-05,8,3,9,11,11,0,6
Portiuncula University Hospital,2024-02-05,6,0,6,7,6,0,0
Roscommon University Hospital,2024-02-05,1,16,17,10,17,0,0
Sligo University Hospital,2024-02-05,1,16,17,10,17,7,0
Beaumont Hospital,2024-02-06,9,0,9,3,0,0,4
Cavan General Hospital,2024-02-06,4,2,6,4,13,0,13
Connolly Hospital,2024-02-06,13,0,13,30,13,0,0
Louth County Hospital,2024-02-06,35,0,35,15,35,0,0
Mater Misericordiae University Hospital,2024-02-06,35,0,35,15,35,5,0
National Orthopaedic Hospital Cappagh,2024-02-06,23,0,23,38,23,0,0
Our Lady of Lourdes Hospital,2024-02-06,23,0,23,38,23,4,2
Our Lady's Hospital Navan,2024-02-06,2,0,2,11,0,0,0
CHI at Crumlin,2024-02-06,8,0,8,0,8,0,0
CHI at Tallaght,2024-02-06,2,0,0,0,0,6,0
CHI at Temple Street,2024-02-06,6,0,0,1,1,1,0
MRH Mullingar,2024-02-06,1,0,1,17,0,0,4
MRH Portlaoise,2024-02-06,4,0,4,17,0,0,0
MRH Tullamore,2024-02-06,0,0,0,20,6,0,0
Naas General Hospital,2024-02-06,10,3,13,7,13,0,37
St. James's Hospital,2024-02-06,37,0,37,20,37,0,0
St. Luke's Radiation Oncology Network,2024-02-06,3,23,2,25,3,0,0
Tallaght University Hospital,2024-02-06,23,2,25,26,25,1,0
National Rehabilitation Hospital,2024-02-06,0,0,0,0,0,0,0
